epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.7968,0.90972,3.19601,1.28787,0.22857,0.17272,0.18056,0.12662,0.99496,2.75794,1.21808,0.000330189,0.000330189,0.000330189
2,62.2291,0.93408,2.44921,1.344,0.3691,0.45425,0.34491,0.21608,1.03762,2.16858,1.32161,0.000650384,0.000650384,0.000650384
3,90.1522,0.92304,2.02122,1.33083,0.37149,0.42864,0.36897,0.24614,1.00088,1.91861,1.28969,0.00095738,0.00095738,0.00095738
4,117.925,0.87541,1.82371,1.28078,0.46586,0.52566,0.47091,0.29979,0.99035,1.81109,1.24386,0.0009406,0.0009406,0.0009406
5,146.052,0.84911,1.70471,1.27043,0.47982,0.47808,0.4801,0.33064,0.89207,1.72722,1.19013,0.0009208,0.0009208,0.0009208
6,173.887,0.81756,1.58796,1.22993,0.60007,0.53709,0.57206,0.39418,0.84842,1.55597,1.16629,0.000901,0.000901,0.000901
7,201.805,0.78454,1.51893,1.21408,0.61367,0.54695,0.60224,0.43757,0.8436,1.46827,1.13107,0.0008812,0.0008812,0.0008812
8,229.28,0.7646,1.46403,1.20023,0.65018,0.61334,0.64937,0.48174,0.79079,1.2634,1.07993,0.0008614,0.0008614,0.0008614
9,256.794,0.77978,1.3978,1.20103,0.58302,0.58529,0.60301,0.44712,0.81084,1.53175,1.10527,0.0008416,0.0008416,0.0008416
10,284.006,0.74003,1.35124,1.17445,0.61027,0.62981,0.64283,0.46858,0.82516,1.30648,1.11999,0.0008218,0.0008218,0.0008218
11,311.482,0.73732,1.30836,1.17129,0.65177,0.64406,0.69515,0.5116,0.80309,1.21691,1.09295,0.000802,0.000802,0.000802
12,339.458,0.71756,1.2387,1.15523,0.75022,0.65338,0.74276,0.55894,0.75755,1.1012,1.05914,0.0007822,0.0007822,0.0007822
13,367.177,0.70559,1.22168,1.14923,0.76457,0.69906,0.76711,0.56509,0.80463,1.05539,1.09221,0.0007624,0.0007624,0.0007624
14,394.981,0.69104,1.16165,1.14363,0.71809,0.69074,0.75005,0.55276,0.7701,1.06848,1.06203,0.0007426,0.0007426,0.0007426
15,422.111,0.68775,1.14575,1.14033,0.77029,0.72148,0.78356,0.58785,0.75308,0.98911,1.05668,0.0007228,0.0007228,0.0007228
16,449.496,0.66326,1.10683,1.11461,0.74581,0.71236,0.77806,0.5896,0.7318,0.94042,1.02757,0.000703,0.000703,0.000703
17,476.503,0.66613,1.07958,1.12002,0.78152,0.70879,0.78943,0.60423,0.73071,0.93082,1.02917,0.0006832,0.0006832,0.0006832
18,503.991,0.67497,1.08805,1.12862,0.77764,0.7035,0.78632,0.61022,0.69189,0.89759,1.01275,0.0006634,0.0006634,0.0006634
19,531.481,0.65094,1.04514,1.11318,0.80466,0.71752,0.80646,0.61989,0.70319,0.89395,1.02203,0.0006436,0.0006436,0.0006436
20,559.035,0.64799,1.0254,1.10479,0.81551,0.72502,0.8107,0.63233,0.71713,0.89948,1.00947,0.0006238,0.0006238,0.0006238
21,586.422,0.62276,0.9809,1.09347,0.84509,0.72615,0.82836,0.63818,0.68565,0.83796,0.98986,0.000604,0.000604,0.000604
22,613.756,0.6291,0.97855,1.08901,0.80509,0.74053,0.81951,0.63288,0.66763,0.84231,0.98394,0.0005842,0.0005842,0.0005842
23,640.797,0.60595,0.94063,1.07664,0.79207,0.74813,0.82726,0.63965,0.68331,0.87041,0.98238,0.0005644,0.0005644,0.0005644
24,668.408,0.60794,0.92685,1.08053,0.82061,0.73943,0.82382,0.63822,0.66631,0.81476,0.97118,0.0005446,0.0005446,0.0005446
25,695.716,0.60516,0.90227,1.07418,0.80709,0.77935,0.84946,0.67432,0.66496,0.76364,0.97113,0.0005248,0.0005248,0.0005248
26,722.81,0.59316,0.89111,1.07105,0.85538,0.77357,0.86069,0.68371,0.64943,0.7312,0.96504,0.000505,0.000505,0.000505
27,750.489,0.59261,0.85688,1.06468,0.82751,0.80119,0.86139,0.68536,0.6432,0.73375,0.95535,0.0004852,0.0004852,0.0004852
28,777.642,0.58333,0.85642,1.06815,0.85456,0.77393,0.86134,0.69313,0.62482,0.72741,0.94326,0.0004654,0.0004654,0.0004654
29,804.888,0.57764,0.84151,1.05448,0.8525,0.78149,0.86598,0.70129,0.61659,0.70164,0.94514,0.0004456,0.0004456,0.0004456
30,832.187,0.55512,0.812,1.04814,0.84605,0.80543,0.87379,0.70525,0.60774,0.6692,0.93169,0.0004258,0.0004258,0.0004258
