epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.076,1.0759,4.78413,1.53563,0.32286,0.20481,0.16349,0.12441,1.00106,2.95329,1.59245,4.38321e-05,4.38321e-05,4.38321e-05
2,285.501,1.03098,3.13159,1.47035,0.35063,0.43129,0.36836,0.26143,1.029,2.22706,1.58561,8.6093e-05,8.6093e-05,8.6093e-05
3,421.576,1.007,2.50617,1.43856,0.48296,0.472,0.48408,0.34257,1.03495,1.96238,1.62941,0.000126612,0.000126612,0.000126612
4,557.345,0.99026,2.19946,1.42272,0.51544,0.52089,0.53319,0.37065,1.07875,1.81195,1.62545,0.000124159,0.000124159,0.000124159
5,692.486,0.97384,1.97913,1.41353,0.55718,0.50721,0.53877,0.37472,1.04044,1.78744,1.60136,0.000121546,0.000121546,0.000121546
6,828.308,0.95162,1.8216,1.38935,0.64569,0.56175,0.61397,0.43002,1.03822,1.58201,1.60542,0.000118932,0.000118932,0.000118932
7,963.555,0.94007,1.70755,1.37881,0.62753,0.55862,0.59933,0.43166,1.01571,1.60615,1.59301,0.000116318,0.000116318,0.000116318
8,1101.35,0.92638,1.59113,1.36366,0.65229,0.60946,0.67665,0.48382,0.98978,1.40953,1.56832,0.000113705,0.000113705,0.000113705
9,1236.51,0.91863,1.51171,1.3496,0.67829,0.61581,0.67557,0.49536,0.97524,1.33317,1.54607,0.000111091,0.000111091,0.000111091
10,1371.72,0.90384,1.44528,1.34314,0.64638,0.63437,0.68174,0.48951,0.99563,1.36277,1.58666,0.000108478,0.000108478,0.000108478
11,1506.76,0.90135,1.37468,1.34092,0.7289,0.63758,0.71591,0.52948,0.94604,1.26227,1.50492,0.000105864,0.000105864,0.000105864
12,1641.84,0.88978,1.33227,1.32448,0.67198,0.67264,0.71122,0.52758,0.93945,1.26715,1.48435,0.00010325,0.00010325,0.00010325
13,1776.7,0.849,1.2448,1.3101,0.74994,0.65719,0.75185,0.55574,0.92375,1.16553,1.47713,0.000100637,0.000100637,0.000100637
14,1911.9,0.86765,1.2219,1.31764,0.72514,0.70479,0.75408,0.55801,0.94777,1.1537,1.49107,9.80232e-05,9.80232e-05,9.80232e-05
15,2047.15,0.84822,1.18769,1.29704,0.74335,0.69302,0.74665,0.55372,0.93324,1.17394,1.48454,9.54096e-05,9.54096e-05,9.54096e-05
16,2182.16,0.83961,1.1546,1.29349,0.74316,0.70192,0.74515,0.54992,0.93511,1.12514,1.47617,9.2796e-05,9.2796e-05,9.2796e-05
17,2317.22,0.84185,1.12356,1.29498,0.73998,0.70967,0.76819,0.56969,0.9197,1.09927,1.4628,9.01824e-05,9.01824e-05,9.01824e-05
18,2452.49,0.83174,1.07366,1.28495,0.76268,0.71993,0.78147,0.57136,0.94237,1.08899,1.49647,8.75688e-05,8.75688e-05,8.75688e-05
19,2587.8,0.81855,1.05573,1.27419,0.7494,0.7221,0.77473,0.57385,0.94151,1.07724,1.49982,8.49552e-05,8.49552e-05,8.49552e-05
20,2722.83,0.81338,1.01842,1.26673,0.79462,0.73068,0.79398,0.5901,0.91266,1.03597,1.45749,8.23416e-05,8.23416e-05,8.23416e-05
21,2857.9,0.80907,0.98807,1.26738,0.77054,0.70205,0.78025,0.58606,0.92254,1.07452,1.47676,7.9728e-05,7.9728e-05,7.9728e-05
22,2993.14,0.79925,0.99134,1.26105,0.78395,0.74057,0.79816,0.594,0.90877,1.00282,1.46993,7.71144e-05,7.71144e-05,7.71144e-05
23,3128.58,0.78279,0.93685,1.24433,0.79002,0.70179,0.78509,0.58544,0.91414,1.00903,1.47885,7.45008e-05,7.45008e-05,7.45008e-05
24,3263.78,0.78495,0.94107,1.25311,0.78242,0.73149,0.79574,0.59528,0.90563,1.00012,1.46473,7.18872e-05,7.18872e-05,7.18872e-05
25,3398.67,0.78074,0.91751,1.23743,0.77547,0.74634,0.79141,0.58386,0.93867,0.99426,1.50872,6.92736e-05,6.92736e-05,6.92736e-05
26,3533.81,0.75621,0.88629,1.23059,0.75237,0.75263,0.8025,0.60165,0.91731,1.00156,1.46661,6.666e-05,6.666e-05,6.666e-05
27,3668.84,0.76837,0.86598,1.22877,0.77943,0.75734,0.80617,0.60764,0.88969,0.96094,1.4482,6.40464e-05,6.40464e-05,6.40464e-05
28,3803.82,0.74984,0.85749,1.22144,0.83192,0.74121,0.81599,0.62608,0.8739,0.93119,1.43253,6.14328e-05,6.14328e-05,6.14328e-05
29,3938.21,0.74395,0.84314,1.21978,0.79549,0.74498,0.81041,0.61758,0.90538,0.94282,1.45542,5.88192e-05,5.88192e-05,5.88192e-05
30,4072.8,0.73624,0.84392,1.21932,0.81554,0.73557,0.8075,0.60861,0.90003,0.95837,1.45584,5.62056e-05,5.62056e-05,5.62056e-05
31,4302.08,0.73047,0.81324,1.21129,0.80355,0.76306,0.81872,0.6151,0.90872,0.94617,1.46819,5.3592e-05,5.3592e-05,5.3592e-05
